Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment,Transaction Type
UPR.L,393.0,2026/06/26,14:07 BST,0.0,391.15,396.0,391.15,3008,20260622,394.54,149.0,,,,,SELL
$$CASH_TX,,,,,,,,,20260611,,5.02,,,,,DEPOSIT
$$CASH_TX,,,,,,,,,20260609,,0.02,,,,,DEPOSIT
UPR.L,393.0,2026/06/26,14:07 BST,0.0,391.15,396.0,391.15,3008,20260605,412.82,149.0,,,,,BUY
LWDB.L,1202.0,2026/06/26,16:35 BST,-2.0,1198.0,1204.0,1188.92,113552,20260604,1206.2,51.0,,,,,SELL
LWDB.L,1202.0,2026/06/26,16:35 BST,-2.0,1198.0,1204.0,1188.92,113552,20260529,1225.518,51.0,,,,,BUY
HRI.L,2990.0,2026/06/26,16:47 BST,-20.0,3025.0,3097.92,2970.0,60980,20260529,3236.4736,4.0,,,,,SELL
HRI.L,2990.0,2026/06/26,16:47 BST,-20.0,3025.0,3097.92,2970.0,60980,20260529,3236.2147,15.0,,,,,SELL
HRI.L,2990.0,2026/06/26,16:47 BST,-20.0,3025.0,3097.92,2970.0,60980,20260521,3047.0219,19.0,,,,,BUY
BA.L,1808.0,2026/06/26,16:36 BST,16.0,1791.5,1808.5,1758.0,5795396,20260521,1950.7,22.0,,,,,SELL
$$CASH_TX,,,,,,,,,20260515,,150.0,,,,,DEPOSIT
$$CASH_TX,,,,,,,,,20260509,,0.02,,,,,DEPOSIT
$$CASH_TX,,,,,,,,,20260409,,0.09,,,,,DEPOSIT
BA.L,1808.0,2026/06/26,16:36 BST,16.0,1791.5,1808.5,1758.0,5795396,20260407,2260.3861,22.0,,,,,BUY
L100.L,1916.6,2026/06/26,16:35 BST,-4.800049,1915.8,1917.0,1899.157,93520,20260407,1873.46,27.0,,,,,SELL
L100.L,1916.6,2026/06/26,16:35 BST,-4.800049,1915.8,1917.0,1899.157,93520,20260319,1837.394,23.0,,,,,BUY
REL.L,2363.0,2026/06/26,16:51 BST,-6.0,2361.0,2374.0,2288.0,4546459,20260310,2592.39,15.0,,,,,SELL
$$CASH_TX,,,,,,,,,20260309,,0.04,,,,,DEPOSIT
FXC.L,6882.0,2026/06/26,16:35 BST,-24.0,6779.0,6882.0,6749.048,15922,20260302,7832.0,6.0,,,,,BUY
REL.L,2363.0,2026/06/26,16:51 BST,-6.0,2361.0,2374.0,2288.0,4546459,20260227,2574.401,20.0,,,,,SELL
REL.L,2363.0,2026/06/26,16:51 BST,-6.0,2361.0,2374.0,2288.0,4546459,20260224,2273.5625,35.0,,,,,BUY
$$CASH_TX,,,,,,,,,20260223,,530.0,,,,,DEPOSIT
L100.L,1916.6,2026/06/26,16:35 BST,-4.800049,1915.8,1917.0,1899.157,93520,20260223,1921.92,104.0,,,,,BUY
KIE.L,216.0,2026/06/26,16:35 BST,-0.3999939,218.4,220.6,212.866,850242,20260223,247.9175,213.0,,,,,SELL
CTEC.L,211.6,2026/06/26,16:37 BST,-0.19999695,211.0,212.4,207.6,7034164,20260220,230.9602,448.0,,,,,SELL
KIE.L,216.0,2026/06/26,16:35 BST,-0.3999939,218.4,220.6,212.866,850242,20260220,251.9929,213.0,,,,,SELL
$$CASH_TX,,,,,,,,,20260213,,170.0,,,,,DEPOSIT
KIE.L,216.0,2026/06/26,16:35 BST,-0.3999939,218.4,220.6,212.866,850242,20260211,232.8201,426.0,,,,,BUY
SGE.L,817.6,2026/06/26,16:51 BST,21.399963,795.8,817.6,784.0,3507129,20260211,830.1547,120.0,,,,,SELL
$$CASH_TX,,,,,,,,,20260209,,1.44,,,,,DEPOSIT
CTEC.L,211.6,2026/06/26,16:37 BST,-0.19999695,211.0,212.4,207.6,7034164,20260205,223.6596,448.0,,,,,BUY
SGE.L,817.6,2026/06/26,16:51 BST,21.399963,795.8,817.6,784.0,3507129,20260205,854.0836,120.0,,,,,BUY
RYAAY,64.49,2026/06/26,16:00 EDT,0.32,64.5,65.17,64.21,741821,20260204,71.13,9.0,,,,,SELL
MCGL.XC,23.56,2026/06/26,16:29 BST,-0.6400013,23.98,23.98,23.17,114948,20260204,24.82,4399.0,,,,,SELL
OMIP.L,4.15,2026/06/26,15:41 BST,0.0,4.3,4.3,4.3,2007,20260204,3.285,13157.0,,,,,SELL
0P00000VDP.L,17.54,2026/06/26,16:30 BST,-0.099998474,,,,,20260203,16.51942828,139.23,,,,,BUY
0P00018LFD.L,2.5582,2026/06/25,16:30 BST,-0.002300024,,,,,20260203,2.5841128700000002,580.47,,,,,BUY
FXC.L,6882.0,2026/06/26,16:35 BST,-24.0,6779.0,6882.0,6749.048,15922,20260202,8222.96,30.0,,,,,BUY
OMIP.L,4.15,2026/06/26,15:41 BST,0.0,4.3,4.3,4.3,2007,20260130,3.8,13157.0,,,,,BUY
$$CASH_TX,,,,,,,,,20260126,,5000.0,,,,,DEPOSIT
RYAAY,64.49,2026/06/26,16:00 EDT,0.32,64.5,65.17,64.21,741821,20260122,70.97,9.0,,,,,BUY
$$CASH_TX,,,,,,,,,20260122,,7.15,,,,,FEE
MCGL.XC,23.56,2026/06/26,16:29 BST,-0.6400013,23.98,23.98,23.17,114948,20260122,22.617,4399.0,,,,,BUY
0P000125KV.L,4.5446,2026/06/26,16:30 BST,-0.054699898,,,,,20260119,4.196099,694.28,,,,,SELL
0P0000WN1S.L,42.2053,2026/06/26,16:30 BST,-1.405201,,,,,20260119,36.476545,10.467,,,,,SELL
0P000125KV.L,4.5446,2026/06/26,16:30 BST,-0.054699898,,,,,20210719,2.55920289,1758.36,,,,,BUY
0P0000WN1S.L,42.2053,2026/06/26,16:30 BST,-1.405201,,,,,20210719,21.495207,209.349,,,,,BUY
$$CASH_TX,,,,,,,,,20210716,,9000.0,,,,,DEPOSIT
